   1.00 MeV   3.624E+00  1.733E-02    2.36 um     1172 A      1529 A   
   1.10 MeV   3.747E+00  1.601E-02    2.51 um     1198 A      1556 A   
   1.20 MeV   3.856E+00  1.490E-02    2.65 um     1222 A      1581 A   
   1.30 MeV   3.953E+00  1.394E-02    2.79 um     1243 A      1604 A   
   1.40 MeV   4.040E+00  1.310E-02    2.92 um     1264 A      1625 A   
   1.50 MeV   4.117E+00  1.237E-02    3.06 um     1283 A      1645 A   
   1.60 MeV   4.185E+00  1.172E-02    3.19 um     1301 A      1663 A   
   1.70 MeV   4.246E+00  1.114E-02    3.31 um     1318 A      1680 A   
   1.80 MeV   4.299E+00  1.061E-02    3.44 um     1334 A      1697 A   
   2.00 MeV   4.386E+00  9.713E-03    3.69 um     1387 A      1727 A   
   2.25 MeV   4.466E+00  8.792E-03    3.99 um     1461 A      1762 A   
   2.50 MeV   4.519E+00  8.040E-03    4.29 um     1529 A      1794 A   
   2.75 MeV   4.551E+00  7.414E-03    4.59 um     1592 A      1823 A   
   3.00 MeV   4.567E+00  6.883E-03    4.89 um     1652 A      1851 A   
   3.25 MeV   4.569E+00  6.428E-03    5.18 um     1710 A      1878 A   
   3.50 MeV   4.561E+00  6.033E-03    5.48 um     1766 A      1903 A   
   3.75 MeV   4.544E+00  5.686E-03    5.77 um     1820 A      1928 A   
   4.00 MeV   4.521E+00  5.380E-03    6.07 um     1873 A      1951 A   
   4.50 MeV   4.460E+00  4.861E-03    6.67 um     2066 A      1997 A   
   5.00 MeV   4.386E+00  4.438E-03    7.28 um     2247 A      2041 A   
   5.50 MeV   4.305E+00  4.087E-03    7.91 um     2421 A      2085 A   
   6.00 MeV   4.219E+00  3.790E-03    8.54 um     2588 A      2127 A   
   6.50 MeV   4.131E+00  3.536E-03    9.19 um     2752 A      2170 A   
   7.00 MeV   4.043E+00  3.315E-03    9.85 um     2913 A      2212 A   
   8.00 MeV   3.870E+00  2.951E-03   11.22 um     3508 A      2297 A   
   9.00 MeV   3.706E+00  2.662E-03   12.64 um     4058 A      2383 A   
  10.00 MeV   3.551E+00  2.428E-03   14.13 um     4583 A      2472 A   
  11.00 MeV   3.407E+00  2.233E-03   15.69 um     5093 A      2564 A   
  12.00 MeV   3.272E+00  2.069E-03   17.31 um     5594 A      2658 A   
  13.00 MeV   3.148E+00  1.928E-03   18.99 um     6090 A      2756 A   
  14.00 MeV   3.031E+00  1.806E-03   20.75 um     6584 A      2858 A   
  15.00 MeV   2.923E+00  1.700E-03   22.56 um     7078 A      2963 A   
  16.00 MeV   2.823E+00  1.606E-03   24.45 um     7572 A      3072 A   
  17.00 MeV   2.729E+00  1.522E-03   26.39 um     8068 A      3185 A   
  18.00 MeV   2.641E+00  1.447E-03   28.41 um     8567 A      3302 A   
  20.00 MeV   2.481E+00  1.318E-03   32.64 um     1.05 um     3548 A   
  22.50 MeV   2.307E+00  1.187E-03   38.29 um     1.32 um     3880 A   
  25.00 MeV   2.158E+00  1.081E-03   44.35 um     1.58 um     4236 A   
  27.50 MeV   2.012E+00  9.932E-04   50.84 um     1.83 um     4620 A   
  30.00 MeV   1.876E+00  9.191E-04   57.81 um     2.08 um     5033 A
