   1.00 MeV   1.638E+00  1.756E-03    3.48 um     1319 A      1412 A   
   1.10 MeV   1.593E+00  1.619E-03    3.81 um     1411 A      1457 A   
   1.20 MeV   1.549E+00  1.502E-03    4.15 um     1503 A      1502 A   
   1.30 MeV   1.507E+00  1.402E-03    4.51 um     1594 A      1548 A   
   1.40 MeV   1.466E+00  1.315E-03    4.87 um     1684 A      1594 A   
   1.50 MeV   1.427E+00  1.239E-03    5.24 um     1775 A      1641 A   
   1.60 MeV   1.389E+00  1.171E-03    5.63 um     1866 A      1689 A   
   1.70 MeV   1.353E+00  1.111E-03    6.02 um     1957 A      1737 A   
   1.80 MeV   1.319E+00  1.058E-03    6.43 um     2049 A      1787 A   
   2.00 MeV   1.256E+00  9.651E-04    7.27 um     2386 A      1889 A   
   2.25 MeV   1.184E+00  8.710E-04    8.38 um     2876 A      2023 A   
   2.50 MeV   1.121E+00  7.944E-04    9.55 um     3341 A      2163 A   
   2.75 MeV   1.065E+00  7.309E-04   10.79 um     3792 A      2311 A   
   3.00 MeV   1.014E+00  6.772E-04   12.09 um     4235 A      2466 A   
   3.25 MeV   9.682E-01  6.313E-04   13.45 um     4675 A      2628 A   
   3.50 MeV   9.269E-01  5.915E-04   14.88 um     5114 A      2797 A   
   3.75 MeV   8.892E-01  5.567E-04   16.37 um     5552 A      2974 A   
   4.00 MeV   8.549E-01  5.259E-04   17.92 um     5992 A      3157 A   
   4.50 MeV   7.944E-01  4.740E-04   21.20 um     7620 A      3546 A   
   5.00 MeV   7.428E-01  4.319E-04   24.72 um     9143 A      3961 A   
   5.50 MeV   6.982E-01  3.969E-04   28.47 um     1.06 um     4403 A   
   6.00 MeV   6.593E-01  3.675E-04   32.46 um     1.21 um     4870 A   
   6.50 MeV   6.250E-01  3.423E-04   36.67 um     1.35 um     5362 A   
   7.00 MeV   5.945E-01  3.205E-04   41.11 um     1.49 um     5878 A   
   8.00 MeV   5.426E-01  2.846E-04   50.63 um     2.02 um     6981 A   
   9.00 MeV   4.978E-01  2.562E-04   61.04 um     2.51 um     8177 A   
  10.00 MeV   4.562E-01  2.332E-04   72.39 um     2.99 um     9472 A   
  11.00 MeV   4.236E-01  2.142E-04   84.70 um     3.47 um     1.09 um  
  12.00 MeV   3.958E-01  1.981E-04   97.91 um     3.95 um     1.24 um  
  13.00 MeV   3.718E-01  1.844E-04  112.01 um     4.43 um     1.39 um  
  14.00 MeV   3.507E-01  1.726E-04  126.99 um     4.93 um     1.56 um  
  15.00 MeV   3.322E-01  1.622E-04  142.83 um     5.43 um     1.74 um  
  16.00 MeV   3.157E-01  1.531E-04  159.54 um     5.93 um     1.93 um  
  17.00 MeV   3.009E-01  1.450E-04  177.09 um     6.44 um     2.12 um  
  18.00 MeV   2.875E-01  1.377E-04  195.48 um     6.96 um     2.33 um  
  20.00 MeV   2.644E-01  1.252E-04  234.73 um     8.94 um     2.76 um  
  22.50 MeV   2.406E-01  1.126E-04  288.36 um    11.76 um     3.35 um  
  25.00 MeV   2.211E-01  1.024E-04  347.01 um    14.43 um     3.99 um  
  27.50 MeV   2.047E-01  9.397E-05  410.58 um    17.04 um     4.69 um  
  30.00 MeV   1.908E-01  8.686E-05  479.00 um    19.64 um     5.43 um
